created_date,Price,Area,Bedrooms,Bathrooms,Parking_Spaces,extract_date,Latitude,Longitude,Rua,Bairro
2018-06-06,1798000.0,105,2,3,1,2024-11-25,-23.62019296678717,-46.66338345537896,Rua Otávio Tarquínio de Sousa,Campo Belo
2024-06-26,1120000.0,110,2,3,1,2024-11-25,-23.582322641275976,-46.67281884732042,Rua Tabapuã 222,Itaim Bibi
2021-02-08,2499000.0,97,2,3,1,2024-11-25,-23.60038550534351,-46.6603136778626,Avenida Agami 333,Moema
2022-09-30,590000.0,87,2,3,1,2024-11-25,-23.626363672531348,-46.74337263291787,Rua José da Silva Ribeiro 420,Vila Andrade
2018-03-28,450000.0,59,2,3,1,2024-11-25,-23.625783367596483,-46.7438839888422,Rua da Chibata 128,Vila Andrade
2018-03-27,695829.0,82,2,3,1,2024-11-25,-23.551840645280052,-46.61498915275421,Rua Ernesto de Castro 139,Brás
2022-06-27,1897880.0,112,2,3,2,2024-11-25,-23.579465084589025,-46.673280870640205,Rua Itacema 65,Itaim Bibi
2021-02-08,1430000.0,76,2,3,2,2024-11-25,-23.60509875,-46.668789894329606,Rua Gaivota 1081,Moema
2021-02-08,1150000.0,102,2,3,2,2024-11-25,-23.6208076,-46.6844333,Rua Francisco Dias Velho 66,Vila Cordeiro
2018-03-27,670000.0,88,2,3,2,2024-11-25,-23.5309088,-46.66348984941352,Rua Tagipuru 35,Barra Funda
2018-03-27,730000.0,84,2,3,2,2024-11-25,-23.626363672531348,-46.74337263291787,Rua José da Silva Ribeiro 100,Vila Andrade
2018-03-27,710000.0,140,2,3,3,2024-11-25,-23.5326819,-46.67449245422535,Rua Doutor Homem de Melo 1180,Perdizes
2018-03-27,1280000.0,83,2,3,3,2024-11-25,-23.53567727802248,-46.75658004242934,Avenida Venceslau de Queirós 470,Jaguaré
2018-03-28,1490000.0,110,2,3,3,2024-11-25,-23.63398350242242,-46.7307212925704,Rua Almansa,Vila Andrade
2018-03-28,1200000.0,120,2,3,3,2024-11-25,-23.48096015,-46.63845599581544,Avenida do Guacá 574,Lauzane Paulista
2018-03-27,16705000.0,278,2,3,5,2024-11-25,-23.596647824810265,-46.679986393489926,Rua Michel Milan 107,Vila Olímpia
2018-10-06,847000.0,95,2,3,5,2024-11-25,-23.626812761526065,-46.735383391364216,Avenida Giovanni Gronchi 6829,Morumbi
2018-03-27,390000.0,64,2,3,4,2024-11-25,-23.6459168,-46.6675551,Não Informado,Vila Mascote
2018-03-27,1680000.0,105,2,4,1,2024-11-25,-23.5702508,-46.6544989,Alameda Joaquim Eugênio de Lima 1095,Jardim Paulista
2018-03-27,3000000.0,246,2,4,1,2024-11-25,-23.5451659,-46.65771600279243,Rua Piauí 752,Higienópolis
2018-03-27,1250000.0,99,2,4,1,2024-11-25,-23.53446665,-46.66499098017718,Rua Turiassu 161,Perdizes
2018-03-28,2500000.0,102,2,4,2,2024-11-25,-23.60766753942898,-46.67028315727245,Avenida Cotovia 618,Indianópolis
2021-02-08,2570000.0,143,2,4,2,2024-11-25,-23.606907222277737,-46.66727494493403,Alameda dos Arapanés 1131,Moema
