Created_Date,Price,Area,Bedrooms,Bathrooms,Parking_Spaces,Latitude,Longitude,Neighborhood
2018,1299330.0,109,3,4,2,-20.819133677171603,-49.4040185751046,Jardim Aeroporto
2018,2990000.0,166,3,5,2,-23.562208476661723,-46.66024132258611,Cerqueira César
2018,1999800.0,169,3,5,3,-23.59616278985694,-46.64648738044718,Vila Clementino
2018,10000000.0,232,3,5,3,-23.569271,-46.6902785061641,Pinheiros
2018,1190000.0,115,3,4,3,-23.4879363,-46.6408803,Santa Teresinha
2018,1199000.0,168,3,4,3,-23.535940375918365,-46.52569955959184,Vila Matilde
2018,1699577.0,184,3,5,3,-23.57113223958333,-46.63489639791666,Aclimação
2018,1200000.0,115,3,4,3,-23.4862831,-46.61643247725858,Vila Paulicéia
2024,4059000.0,246,3,4,4,-23.584343706534963,-46.64307927993439,Vila Mariana
2018,3250000.0,172,3,5,4,-23.54077925,-46.67299318979167,Perdizes
2020,2480000.0,182,3,4,4,-23.493227,-46.6290801,Santana
2019,1610000.0,355,3,5,4,-23.57566618358964,-46.59051576999897,Parque da Mooca
2018,503000.0,140,4,1,1,-23.5540206,-46.5927656,Mooca
2020,2449970.0,173,4,1,1,-23.57457262250761,-46.66782303338766,Jardim Paulista
2018,369000.0,71,4,1,1,-23.515134997068035,-46.4189849194705,Vila Nova Curuçá
2020,270000.0,62,4,1,1,-23.563103060753317,-46.47825937187935,Cidade Líder
2018,650000.0,114,4,1,1,-23.553728,-46.5921371,Mooca
2018,1390000.0,136,4,1,2,-23.6042055,-46.613734750000006,Vila Dom Pedro I
2018,2999800.0,120,4,1,2,-23.53412475,-46.682204025216016,Perdizes
2021,1200000.0,149,4,1,2,-23.607622407356345,-46.6685981529014,Moema
2019,1180000.0,128,4,1,2,-23.624895287323262,-46.73813305222849,Vila Andrade
2018,1750000.0,128,4,1,2,-23.634377538785557,-46.73850125830927,Vila Andrade
2018,1846000.0,109,4,1,2,-23.536282977487776,-46.67798106973038,Perdizes
2018,1270000.0,167,4,1,2,-23.6274215,-46.59799525929052,Sacomã
2018,1200000.0,160,4,1,2,-23.5652978,-46.58009425210754,Vila Bertioga
2018,6000000.0,230,4,1,3,-23.56393986125299,-46.68391209231096,Pinheiros
2022,2500000.0,220,4,1,3,-23.60726125,-46.65615927054752,Indianópolis
2018,1200000.0,190,4,1,3,-23.57014885732432,-46.65563841007173,Jardim Paulista
2018,1694000.0,176,4,1,3,-23.1691829,-46.9136887,Vila Suzana
2018,1850000.0,168,4,1,3,-23.59480898828708,-46.61972122629467,Vila Firmiano Pinto
2018,690000.0,200,4,1,3,-23.61426715089025,-46.66466959800176,Indianópolis
2018,1700000.0,121,4,1,3,-23.526404900000003,-46.738901850000005,Vila Leopoldina
2018,860000.0,106,4,1,3,-23.5966043905451,-46.62737401331231,Vila Mariana
2018,1602317.3015935991,404,4,1,3,-23.536013633053532,-46.513944813706736,Vila Guilhermina
2018,9020550.0,263,4,1,4,-23.565711758469867,-46.66386865666223,Jardim Paulista
2022,3997000.0,220,4,1,4,-23.5729322,-46.64779745470297,Paraíso
2018,7500000.0,330,4,1,6,-23.59886435,-46.66394935,Moema
2019,1739970.0,187,4,2,1,-23.57609491273687,-46.64663908162285,Paraíso
2018,667002.0,81,4,2,1,-23.47130695,-46.63016341778986,Parque Mandaqui
2018,510000.0,95,4,2,1,-23.5986562,-46.7392935,Vila Sônia
2022,350000.0,92,4,2,1,-23.5171184,-46.4191889,Vila Nova Curuçá
2024,380000.0,69,4,2,1,-23.58895725,-46.58040011435315,Vila Zelina
2018,349000.0,92,4,2,1,-23.515134997068035,-46.4189849194705,Vila Nova Curuçá
2021,450000.0,92,4,2,1,-23.515134997068035,-46.4189849194705,Vila Nova Curuçá
2018,359000.0,100,4,2,1,-23.529019981100824,-46.50134264753558,Vila Ré
2018,369000.0,92,4,2,1,-23.515134997068035,-46.4189849194705,Vila Nova Curuçá
2018,1602317.3015935991,63,4,2,1,-23.515134997068035,-46.4189849194705,Vila Nova Curuçá
2021,1300000.0,96,4,2,2,-23.568108212931214,-46.63014652669937,Aclimação
2018,1520000.0,80,4,2,2,-23.4850199,-46.6293477,Santana
2020,1390000.0,113,4,2,2,-23.608319345673976,-46.62438704915726,Bosque da Saúde
2024,1602317.3015935991,117,4,2,2,-23.53211735,-46.68256818511949,Perdizes
2020,6000000.0,217,4,2,3,-23.57800902093194,-46.687923123295946,Jardim Europa
2018,1790000.0,123,4,2,3,-23.53373855,-46.6842577989899,Perdizes
2018,1680000.0,133,4,2,3,-23.5391652955083,-46.6819838008938,Perdizes
2018,1150000.0,98,4,2,3,-23.612194153916576,-46.63189920829186,Saúde
2018,17000000.0,225,4,2,5,-23.53796505,-46.67124372854936,Perdizes
2018,1370000.0,397,4,2,5,-23.562037739374706,-46.66598963198932,Cerqueira César
2019,1602317.3015935991,227,4,2,6,-23.628014848887403,-46.73424424255881,Vila Andrade
2019,1349980.0,160,4,3,1,-23.58590456417472,-46.640586618538215,Vila Mariana
2024,677000.0,105,4,3,1,-23.636071120911687,-46.64444666775195,Jabaquara
2019,677000.0,105,4,3,1,-23.636071120911687,-46.64444666775195,Jabaquara
2021,845000.0,140,4,3,2,-23.62782028479964,-46.63066722502966,Vila Monte Alegre
2018,1800000.0,260,4,3,2,-23.53910635,-46.65981284433629,Santa Cecília
2018,2850000.0,238,4,3,2,-23.6325985200546,-46.73234799172522,Vila Andrade
2018,680000.0,133,4,3,2,-23.624895287323262,-46.73813305222849,Vila Andrade
2020,1799990.0,168,4,3,3,-23.607955914455516,-46.66473922725571,Indianópolis
2020,2100000.0,211,4,3,3,-23.6006549,-46.66086591507514,Moema
2018,1299000.0,202,4,3,3,-23.606002253094587,-46.66890144081107,Indianópolis
2018,3580000.0,146,4,3,3,-23.5652978,-46.58009425210754,Vila Bertioga
2021,4800000.0,220,4,3,4,-23.604918150000003,-46.65553953855198,Indianópolis
2018,1350000.0,332,4,3,4,-23.62030305,-46.681078,Campo Belo
2023,3390000.0,214,4,4,1,-23.569191169265583,-46.646876696621206,Bela Vista
2018,1080000.0,116,4,4,1,-23.586173414082246,-46.67514128582773,Itaim Bibi
2018,1495000.0,212,4,4,1,-23.53572115,-46.65749149643631,Santa Cecília
